Model,Protein,Ligand
1,3qzr,3qzr-8v_model52
2,5c1u,5c1u-10b_model87
3,3qzr,3qzr-8w_model64
4,3qzq,3qzq-R_model23
5,3sjo,3sjo-NK18k_model95
6,3qzr,3qzr-F_model14
7,5gsw,5gsw-NK19k_model59
8,3sjk,3sjk-NK19k_model48
9,5gsw,5gsw-SG_model37
10,3sjk,3sjk-8v_model35
11,3qzq,3qzq-SG_model99
12,3qzq,3qzq-HF_model25
13,3sjk,3sjk-FIP_model30
14,7dnc,7dnc-HF_model43
15,3qzq,3qzq-FIOMC_model99
16,3sjo,3sjo-CR_model66
17,3qzr,3qzr-D_model97
18,7dnc,7dnc-GC376_model44
19,5gso,5gso-D_model68
20,7dnc,7dnc-9_model21
21,3sjo,3sjo-FIP_model30
22,3qzr,3qzr-9_model97
23,5gso,5gso-R_model40
24,5gsw,5gsw-CR_model10
25,7dnc,7dnc-Q_model99
26,3sjk,3sjk-AG_model98
27,3sjk,3sjk-FIP_model82
28,5c1u,5c1u-8w_model64
29,3sjo,3sjo-F_model8
30,3qzr,3qzr-HF_model48
31,5gsw,5gsw-FIOMC_model14
32,3qzq,3qzq-FOPMC_model94
33,3qzr,3qzr-GC376_model80
34,7dnc,7dnc-8w_model8
35,7dnc,7dnc-SG_model75
36,5c1u,5c1u-CR_model99
37,5gsw,5gsw-FIP_model43
38,7dnc,7dnc-FIOMC_model86
39,5c1u,5c1u-SG_model69
40,5gso,5gso-AG_model81
41,3qzr,3qzr-SG_model41
42,3sjo,3sjo-F_model82
43,3qzq,3qzq-FOPMC_model37
44,3sjo,3sjo-L_model67
45,5gso,5gso-FIOMC_model33
46,3qzq,3qzq-10b_model92
47,5c1u,5c1u-9_model80
48,3qzr,3qzr-NK18k_model46
49,5gsw,5gsw-GC376_model37
50,3qzr,3qzr-9_model55
51,5gsw,5gsw-8w_model45
52,7dnc,7dnc-8w_model5
53,3sjo,3sjo-CIP_model37
54,7dnc,7dnc-CIP_model21
55,5gso,5gso-Q_model43
56,5gsw,5gsw-F_model59
57,3sjk,3sjk-AG_model26
58,5gso,5gso-L_model33
59,7dnc,7dnc-8x_model2
60,5gsw,5gsw-FIP_model21
61,3qzr,3qzr-FIOMC_model3
62,7dnc,7dnc-10b_model68
63,5gso,5gso-NK19k_model75
64,3qzq,3qzq-Q_model89
65,5gsw,5gsw-FIOMC_model79
66,5gsw,5gsw-8w_model7
67,5gso,5gso-8v_model9
68,3sjk,3sjk-NK18k_model59
69,3sjo,3sjo-NK19k_model48
70,5gsw,5gsw-FOPMC_model49
71,3qzr,3qzr-NK19k_model20
72,3sjk,3sjk-8x_model92
73,5c1u,5c1u-AG_model60
74,3sjo,3sjo-8v_model27
75,5c1u,5c1u-Q_model41
76,5gsw,5gsw-CR_model26
77,3qzr,3qzr-D_model11
78,3qzr,3qzr-D_model88
79,3sjk,3sjk-FIP_model65
80,5gso,5gso-FIOMC_model65
81,3qzr,3qzr-SG_model81
82,3sjk,3sjk-10b_model56
83,5gso,5gso-D_model28
84,5gsw,5gsw-NK18k_model99
85,3qzq,3qzq-FIP_model67
86,5c1u,5c1u-AG_model3
87,3sjk,3sjk-NK18k_model78
88,5gso,5gso-NK19k_model35
89,7dnc,7dnc-D_model3
90,5gso,5gso-HF_model27
91,3sjk,3sjk-HF_model36
92,7dnc,7dnc-F_model32
93,7dnc,7dnc-FOPMC_model53
94,3qzq,3qzq-10b_model15
95,5gso,5gso-9_model4
96,3sjk,3sjk-R_model23
97,5gso,5gso-AG_model59
98,7dnc,7dnc-NK19k_model60
99,3sjk,3sjk-8w_model79
100,5gsw,5gsw-CR_model88
